"","Median","Mean","Q1","Q3","Stdev","CoD","CoV","Dose","Strain","ON","PMT","Time","Y"
"1",3240,3706.44720496894,2248,4628,2119.12301556041,0.734567901234568,0.571739700681415,0,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"2",23032,24635.0054032419,15917,31483,12790.4052962478,0.675842306356374,0.51919636658836,100,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"3",42553,45081.8737221888,30736,56992,21304.5169180612,0.617018776584495,0.472573900751055,300,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"4",50525,53397.1423993591,36467,66836,24522.4179511202,0.601068777832756,0.459245885626541,700,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"5",54839.5,57790.04164998,39346,71775,26644.4226041575,0.591343830633029,0.461055604796692,1000,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"6",57493,60410.3573002203,42197,73756,25597.7405768153,0.548918998834641,0.423730991187532,1500,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"7",57524.5,60543.3155786944,41987,74877,25486.6676519731,0.571756382063295,0.420965839223745,2000,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"8",57030,60353.8008814103,42332,74030,25596.7395514861,0.55581273014203,0.424111475626554,3000,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"9",58899.5,62160.4617694155,43878.5,75564.25,26697.6263325512,0.537962970823182,0.429495302521821,5000,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"10",57835,61070.4079631853,41459,76257.75,28233.5880473143,0.601690153021527,0.462312091714438,10000,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"11",58126.5,61175.5112179487,42266.75,75233.75,26230.0784177539,0.567159557172718,0.428767621153251,40000,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"12",55505,58978.1990777867,40903.5,72605,25363.0656859307,0.571146743536618,0.430041372617688,2e+05,"P4Lacn.2_cit + PAct1_LacI",0,"normal",20,3547
"13",478,554.685834502104,351.5,637,1301.93182203068,0.597280334728033,2.34715174076749,0,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"14",764,902.032852564103,529,1069,1779.68665770178,0.706806282722513,1.97297321560171,100,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"15",4852.5,5627.21228491397,2920.25,7443,3978.45332088351,0.93204533745492,0.707002529751609,300,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"16",24181,25824.9100560897,16326,33687,14873.6103296729,0.717960382118192,0.575940450416616,700,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"17",37086,39193.0768461077,26281,50128,19996.4300152998,0.643018928975894,0.510203118112318,1000,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"18",48841,50988.6029617771,35401,63900,23794.4607256697,0.583505661227248,0.466662339101678,1500,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"19",54766,57756.2899479375,39888.25,71716.75,26702.098080936,0.581172625351495,0.462323637910359,2000,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"20",58496.5,61717.6592,42256,76202.75,27657.4787815876,0.580321044848837,0.448129095304178,3000,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"21",67929,71955.5982567353,50331,87403.25,31386.3115817771,0.545749974237807,0.436189988578675,5000,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"22",71209,75620.4210842168,52710.5,91937.5,32413.3321109746,0.550871378617871,0.428631997101373,10000,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"23",70834,75383.8064838903,53083,92240,31634.3090634443,0.552799503063501,0.419643296603821,40000,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"24",68625,73127.1402841705,51747,89296,30004.7169176711,0.547162112932605,0.410308905846358,2e+05,"P4Lacn.2_cit + PAct1_LacI(W220F)",0,"normal",20,3574
"25",1136,1471.88386063276,713,1757,1789.89932318827,0.919014084507042,1.21606016008546,0,"P4Lacn.2_cit + P4Lacn.2_LacI(W220F,Q60G, T167A)",0,"normal",20,3637
"26",1501,1846.94076445868,951,2340,1404.30636628535,0.925383077948035,0.760341854654415,100,"P4Lacn.2_cit + P4Lacn.2_LacI(W220F,Q60G, T167A)",0,"normal",20,3637
