SimFluoValues,Dose,Repression_Coefficient,Draw
0.520608946609281,1,LacIrep1,1
17.0384541768988,100000,LacIrep1,1
48.6418628146614,300000,LacIrep1,1
53.4290625251823,700000,LacIrep1,1
53.8001075142884,1000000,LacIrep1,1
53.9552089100017,1500000,LacIrep1,1
53.9982926804594,2000000,LacIrep1,1
54.0230778276313,3000000,LacIrep1,1
54.0325900475857,5000000,LacIrep1,1
54.0353741172948,10000000,LacIrep1,1
54.0358882624937,40000000,LacIrep1,1
54.0359014840266,200000000,LacIrep1,1
0.520707504894995,1,LacIrep1,2
19.0443993477781,100000,LacIrep1,2
54.2761825577518,300000,LacIrep1,2
59.5897288298826,700000,LacIrep1,2
60.0076337905411,1000000,LacIrep1,2
60.1845182570813,1500000,LacIrep1,2
60.2337126022971,2000000,LacIrep1,2
60.2621605719661,3000000,LacIrep1,2
60.273158768626,5000000,LacIrep1,2
60.2764148599363,10000000,LacIrep1,2
60.2770156548811,40000000,LacIrep1,2
60.277038914055,200000000,LacIrep1,2
0.520767298371857,1,LacIrep1,3
34.8641996645914,100000,LacIrep1,3
62.0580065552874,300000,LacIrep1,3
63.8870228359232,700000,LacIrep1,3
64.0001466166064,1000000,LacIrep1,3
64.0437917581029,1500000,LacIrep1,3
64.0548560647147,2000000,LacIrep1,3
64.0607460980925,3000000,LacIrep1,3
64.0628006723097,5000000,LacIrep1,3
64.0633275926045,10000000,LacIrep1,3
64.063408878911,40000000,LacIrep1,3
64.0634103943042,200000000,LacIrep1,3
0.520849720827772,1,LacIrep1,4
24.3148001066477,100000,LacIrep1,4
58.4591306775534,300000,LacIrep1,4
61.2890437744926,700000,LacIrep1,4
61.4838452208199,1000000,LacIrep1,4
61.5453598514115,1500000,LacIrep1,4
61.5604083893945,2000000,LacIrep1,4
61.5681740557193,3000000,LacIrep1,4
61.5707567407714,5000000,LacIrep1,4
61.5713860485838,10000000,LacIrep1,4
61.5714032224926,40000000,LacIrep1,4
61.5714046842794,200000000,LacIrep1,4
0.520693761684822,1,LacIrep1,5
28.7496249054355,100000,LacIrep1,5
53.4920263604634,300000,LacIrep1,5
55.6478550202114,700000,LacIrep1,5
55.8018889161361,1000000,LacIrep1,5
55.8650717560646,1500000,LacIrep1,5
55.8821815012441,2000000,LacIrep1,5
55.8918231900139,3000000,LacIrep1,5
55.8954589572192,5000000,LacIrep1,5
55.8965283758562,10000000,LacIrep1,5
55.8967120117383,40000000,LacIrep1,5
55.8967164153912,200000000,LacIrep1,5
0.520786647576106,1,LacIrep1,6
27.2443848894389,100000,LacIrep1,6
55.736190724089,300000,LacIrep1,6
57.8102819077427,700000,LacIrep1,6
57.9319444357898,1000000,LacIrep1,6
58.0055326420037,1500000,LacIrep1,6
58.0168921311654,2000000,LacIrep1,6
58.022747419744,3000000,LacIrep1,6
58.0247501730807,5000000,LacIrep1,6
58.0253221285387,10000000,LacIrep1,6
58.0253952427647,40000000,LacIrep1,6
58.0253222050588,200000000,LacIrep1,6
0.52080593200299,1,LacIrep1,7
25.0221161889555,100000,LacIrep1,7
56.1470639442622,300000,LacIrep1,7
58.8205752257975,700000,LacIrep1,7
58.9876013185133,1000000,LacIrep1,7
59.0806694488764,1500000,LacIrep1,7
59.0969511802238,2000000,LacIrep1,7
59.1057321295753,3000000,LacIrep1,7
59.1087496490007,5000000,LacIrep1,7
59.1094504592904,10000000,LacIrep1,7
59.1096434647193,40000000,LacIrep1,7
59.1095717879042,200000000,LacIrep1,7
0.52091536236017,1,LacIrep1,8
19.7468815299935,100000,LacIrep1,8
57.52983447426,300000,LacIrep1,8
64.2346473955148,700000,LacIrep1,8
64.8221697925913,1000000,LacIrep1,8
65.1133560214807,1500000,LacIrep1,8
65.1623739755399,2000000,LacIrep1,8
65.2083213983118,3000000,LacIrep1,8
65.2270704489931,5000000,LacIrep1,8
65.2329788302008,10000000,LacIrep1,8
65.234213447464,40000000,LacIrep1,8
65.2342515222238,200000000,LacIrep1,8
0.520577044126299,1,LacIrep1,9
20.0892460769519,100000,LacIrep1,9
51.7674307520124,300000,LacIrep1,9
55.1468518422709,700000,LacIrep1,9
55.3693435909447,1000000,LacIrep1,9
55.4562697324786,1500000,LacIrep1,9
55.4786258229574,2000000,LacIrep1,9
55.490687878131,3000000,LacIrep1,9
55.4949437494218,5000000,LacIrep1,9
55.496061418704,10000000,LacIrep1,9
55.4962388019424,40000000,LacIrep1,9
55.4962422822169,200000000,LacIrep1,9
0.520699142606279,1,LacIrep1,10
17.8299863340145,100000,LacIrep1,10
57.008697652212,300000,LacIrep1,10
63.0302542437796,700000,LacIrep1,10
63.4770071376613,1000000,LacIrep1,10
63.6602782729336,1500000,LacIrep1,10
63.7093568924865,2000000,LacIrep1,10
63.7370013343282,3000000,LacIrep1,10
63.7474489962135,5000000,LacIrep1,10
63.7501597115625,10000000,LacIrep1,10
63.7506621136383,40000000,LacIrep1,10
63.7506737683738,200000000,LacIrep1,10
0.520783843253264,1,LacIrep1,11
26.3675247975017,100000,LacIrep1,11
58.6566954050962,300000,LacIrep1,11
61.0566615868297,700000,LacIrep1,11
61.1914179238226,1000000,LacIrep1,11
61.240379695671,1500000,LacIrep1,11
61.2522256990438,2000000,LacIrep1,11
61.2582406406778,3000000,LacIrep1,11
61.2601699818596,5000000,LacIrep1,11
61.2606754450816,10000000,LacIrep1,11
61.2607404182918,40000000,LacIrep1,11
61.260704636306,200000000,LacIrep1,11
0.520615444457256,1,LacIrep1,12
20.7014432740514,100000,LacIrep1,12
52.5304062617594,300000,LacIrep1,12
57.3826498685498,700000,LacIrep1,12
57.8007608125383,1000000,LacIrep1,12
57.9867245036732,1500000,LacIrep1,12
58.0409944361723,2000000,LacIrep1,12
58.0737028935465,3000000,LacIrep1,12
58.0868807889283,5000000,LacIrep1,12
58.0912975733404,10000000,LacIrep1,12
58.092171178167,40000000,LacIrep1,12
58.0921985543623,200000000,LacIrep1,12
0.520693857768473,1,LacIrep1,13
19.9050213636585,100000,LacIrep1,13
51.7342201422488,300000,LacIrep1,13
55.4842905355068,700000,LacIrep1,13
55.7465890083755,1000000,LacIrep1,13
55.8517465905772,1500000,LacIrep1,13
55.8795814810144,2000000,LacIrep1,13
55.8949897224125,3000000,LacIrep1,13
55.9006144174277,5000000,LacIrep1,13
55.9021567764849,10000000,LacIrep1,13
55.9024168809493,40000000,LacIrep1,13
55.9024225702122,200000000,LacIrep1,13
0.520740914673525,1,LacIrep1,14
22.6222272236135,100000,LacIrep1,14
54.7319401107519,300000,LacIrep1,14
58.3011370694449,700000,LacIrep1,14
58.553068566075,1000000,LacIrep1,14
58.6548264503657,1500000,LacIrep1,14
58.6819672705429,2000000,LacIrep1,14
58.6970960780879,3000000,LacIrep1,14
58.7026702640571,5000000,LacIrep1,14
58.7042169312504,10000000,LacIrep1,14
58.7044821340239,40000000,LacIrep1,14
58.7044881095256,200000000,LacIrep1,14
0.520810408858601,1,LacIrep1,15
26.4115322281177,100000,LacIrep1,15
56.2512174385471,300000,LacIrep1,15
59.0292292151956,700000,LacIrep1,15
59.2193112339463,1000000,LacIrep1,15
59.3240265718857,1500000,LacIrep1,15
59.3443414195105,2000000,LacIrep1,15
59.355589555773,3000000,LacIrep1,15
59.3596971532269,5000000,LacIrep1,15
59.3608240573349,10000000,LacIrep1,15
59.3610142298287,40000000,LacIrep1,15
59.3610183943486,200000000,LacIrep1,15
0.520625356698363,1,LacIrep1,16
22.7478130666785,100000,LacIrep1,16
52.3739749516425,300000,LacIrep1,16
54.8481365256861,700000,LacIrep1,16
54.995563128674,1000000,LacIrep1,16
55.0510853155839,1500000,LacIrep1,16
55.0648755260535,2000000,LacIrep1,16
55.072076033163,3000000,LacIrep1,16
55.0745232166783,5000000,LacIrep1,16
55.0751243808225,10000000,LacIrep1,16
55.0752141347635,40000000,LacIrep1,16
55.0752227461002,200000000,LacIrep1,16
0.520712785797296,1,LacIrep1,17
29.3645932911912,100000,LacIrep1,17
57.6485265802879,300000,LacIrep1,17
60.3025596595652,700000,LacIrep1,17
60.4929243483713,1000000,LacIrep1,17
60.5717006960992,1500000,LacIrep1,17
60.5931426728951,2000000,LacIrep1,17
60.60531854707,3000000,LacIrep1,17
60.609917318791,5000000,LacIrep1,17
60.611234274396,10000000,LacIrep1,17
