SimFluoValues,Dose,Repression_Coefficient,Draw
0.52071021401658,1,LacIrep2,1
0.607863942715853,100000,LacIrep2,1
0.638825422514911,110000,LacIrep2,1
0.676319425798657,120000,LacIrep2,1
0.721185742809426,130000,LacIrep2,1
0.773823923771172,140000,LacIrep2,1
0.834984538715135,150000,LacIrep2,1
0.90543802329512,160000,LacIrep2,1
0.985583190741225,170000,LacIrep2,1
1.07586678450472,180000,LacIrep2,1
1.17721868055891,190000,LacIrep2,1
1.29004956553961,200000,LacIrep2,1
1.41614404335611,210000,LacIrep2,1
1.55280268797675,220000,LacIrep2,1
1.70284011438789,230000,LacIrep2,1
1.86673535124731,240000,LacIrep2,1
2.04482996723028,250000,LacIrep2,1
2.23724984151336,260000,LacIrep2,1
2.44503807322075,270000,LacIrep2,1
2.66646674752584,280000,LacIrep2,1
2.90398391722814,290000,LacIrep2,1
3.16067603101184,300000,LacIrep2,1
3.42676272198664,310000,LacIrep2,1
3.71297450845083,320000,LacIrep2,1
4.01459921745445,330000,LacIrep2,1
4.33242983801204,340000,LacIrep2,1
4.66666724867315,350000,LacIrep2,1
5.01790243821339,360000,LacIrep2,1
5.38540003434363,370000,LacIrep2,1
5.77179731817351,380000,LacIrep2,1
6.16923142369491,390000,LacIrep2,1
6.58511521674183,400000,LacIrep2,1
7.01629222825391,410000,LacIrep2,1
7.46446468933377,420000,LacIrep2,1
7.92353569061624,430000,LacIrep2,1
8.40527153247574,440000,LacIrep2,1
8.89428017903251,450000,LacIrep2,1
9.40028519817763,460000,LacIrep2,1
9.9146788351188,470000,LacIrep2,1
10.4543070730152,480000,LacIrep2,1
11.0004648398572,490000,LacIrep2,1
11.5579249951102,500000,LacIrep2,1
12.1257127777221,510000,LacIrep2,1
12.6961744018825,520000,LacIrep2,1
13.2910165912548,530000,LacIrep2,1
13.8949633741972,540000,LacIrep2,1
14.498180633162,550000,LacIrep2,1
15.1143792899501,560000,LacIrep2,1
15.7345795170686,570000,LacIrep2,1
16.3697312754484,580000,LacIrep2,1
17.0085505890717,590000,LacIrep2,1
17.6462432213823,600000,LacIrep2,1
18.2851290876798,610000,LacIrep2,1
