SimFluoValues,Dose,Repression_Coefficient,Draw,dose
0.526193410930141,0,LacIrep1,1,1
53.5124549159672,0,LacIrep1,1,100000
53.5124549163583,0,LacIrep1,1,300000
53.5124549163584,0,LacIrep1,1,700000
53.5124549163584,0,LacIrep1,1,1000000
53.5124549163584,0,LacIrep1,1,1500000
53.5124549163584,0,LacIrep1,1,2000000
53.5124549163584,0,LacIrep1,1,3000000
53.5124549163584,0,LacIrep1,1,5000000
53.5124549163584,0,LacIrep1,1,10000000
53.5124549163584,0,LacIrep1,1,40000000
53.5124549163584,0,LacIrep1,1,200000000
0.556458556051951,0,LacIrep1,2,1
49.1654802513188,0,LacIrep1,2,100000
49.1655569625874,0,LacIrep1,2,300000
49.1655622368864,0,LacIrep1,2,700000
49.1655629500571,0,LacIrep1,2,1000000
49.1655629349538,0,LacIrep1,2,1500000
49.1655632428311,0,LacIrep1,2,2000000
49.1655632872299,0,LacIrep1,2,3000000
49.1655630684276,0,LacIrep1,2,5000000
49.1655630752768,0,LacIrep1,2,10000000
49.1655630769807,0,LacIrep1,2,40000000
49.1655630769956,0,LacIrep1,2,200000000
0.53117108884111,0,LacIrep1,3,1
52.4123072364759,0,LacIrep1,3,100000
52.4123035833781,0,LacIrep1,3,300000
52.412303583399,0,LacIrep1,3,700000
52.412303583401,0,LacIrep1,3,1000000
52.412303583401,0,LacIrep1,3,1500000
52.412303583401,0,LacIrep1,3,2000000
52.412303583401,0,LacIrep1,3,3000000
52.412303583401,0,LacIrep1,3,5000000
52.412303583401,0,LacIrep1,3,10000000
52.412303583401,0,LacIrep1,3,40000000
52.412303583401,0,LacIrep1,3,200000000
0.525261429021719,0,LacIrep1,4,1
41.4803259363289,0,LacIrep1,4,100000
54.2580159792123,0,LacIrep1,4,300000
54.3264037709168,0,LacIrep1,4,700000
54.3273975302842,0,LacIrep1,4,1000000
54.3275760566456,0,LacIrep1,4,1500000
54.3275984527318,0,LacIrep1,4,2000000
54.3276049510846,0,LacIrep1,4,3000000
54.3276059534682,0,LacIrep1,4,5000000
54.327606047677,0,LacIrep1,4,10000000
54.3276060512515,0,LacIrep1,4,40000000
54.3276060501655,0,LacIrep1,4,200000000
0.526252927535237,0,LacIrep1,5,1
47.7382895536115,0,LacIrep1,5,100000
47.7382895525444,0,LacIrep1,5,300000
47.738289552546,0,LacIrep1,5,700000
47.738289552546,0,LacIrep1,5,1000000
47.738289552546,0,LacIrep1,5,1500000
47.738289552546,0,LacIrep1,5,2000000
47.738289552546,0,LacIrep1,5,3000000
47.738289552546,0,LacIrep1,5,5000000
47.738289552546,0,LacIrep1,5,10000000
47.738289552546,0,LacIrep1,5,40000000
47.738289552546,0,LacIrep1,5,200000000
0.545242896222833,0,LacIrep1,6,1
48.1747505448455,0,LacIrep1,6,100000
48.1798698174558,0,LacIrep1,6,300000
48.179885770361,0,LacIrep1,6,700000
48.1798859031033,0,LacIrep1,6,1000000
48.1798859248024,0,LacIrep1,6,1500000
48.1798859271517,0,LacIrep1,6,2000000
48.1798859277546,0,LacIrep1,6,3000000
48.1798859278336,0,LacIrep1,6,5000000
48.1798859278396,0,LacIrep1,6,10000000
48.1798859278397,0,LacIrep1,6,40000000
48.1798859278397,0,LacIrep1,6,200000000
0.568317389237287,0,LacIrep1,7,1
57.5118147069355,0,LacIrep1,7,100000
58.0263078969842,0,LacIrep1,7,300000
58.1478437011724,0,LacIrep1,7,700000
58.1724507419615,0,LacIrep1,7,1000000
58.1905152422212,0,LacIrep1,7,1500000
58.1990816835328,0,LacIrep1,7,2000000
58.2072297117436,0,LacIrep1,7,3000000
58.2133353128452,0,LacIrep1,7,5000000
58.2175449399028,0,LacIrep1,7,10000000
58.2203142495655,0,LacIrep1,7,40000000
58.2209158490188,0,LacIrep1,7,200000000
0.520912452554014,0,LacIrep1,8,1
47.9556986309527,0,LacIrep1,8,100000
47.9556470673894,0,LacIrep1,8,300000
47.9556470622219,0,LacIrep1,8,700000
47.955647062224,0,LacIrep1,8,1000000
47.955647062224,0,LacIrep1,8,1500000
47.955647062224,0,LacIrep1,8,2000000
47.955647062224,0,LacIrep1,8,3000000
47.955647062224,0,LacIrep1,8,5000000
47.955647062224,0,LacIrep1,8,10000000
47.955647062224,0,LacIrep1,8,40000000
47.955647062224,0,LacIrep1,8,200000000
0.520189595707043,0,LacIrep1,9,1
51.5618430478356,0,LacIrep1,9,100000
51.561552399267,0,LacIrep1,9,300000
51.5615524002531,0,LacIrep1,9,700000
51.5615524002539,0,LacIrep1,9,1000000
51.561552400254,0,LacIrep1,9,1500000
51.561552400254,0,LacIrep1,9,2000000
51.561552400254,0,LacIrep1,9,3000000
51.561552400254,0,LacIrep1,9,5000000
51.561552400254,0,LacIrep1,9,10000000
51.561552400254,0,LacIrep1,9,40000000
51.561552400254,0,LacIrep1,9,200000000
0.52322466089048,0,LacIrep1,10,1
51.2798223495938,0,LacIrep1,10,100000
52.2818902357469,0,LacIrep1,10,300000
52.2997594114455,0,LacIrep1,10,700000
52.3004238242972,0,LacIrep1,10,1000000
52.3006246592755,0,LacIrep1,10,1500000
52.3006651191496,0,LacIrep1,10,2000000
52.3006827356078,0,LacIrep1,10,3000000
52.3006874136189,0,LacIrep1,10,5000000
52.300688271802,0,LacIrep1,10,10000000
52.3006883547437,0,LacIrep1,10,40000000
52.3006883554024,0,LacIrep1,10,200000000
0.524585856912728,0,LacIrep1,11,1
55.9866281325628,0,LacIrep1,11,100000
56.0075447069189,0,LacIrep1,11,300000
56.0084450797071,0,LacIrep1,11,700000
56.008505202868,0,LacIrep1,11,1000000
56.0085249574513,0,LacIrep1,11,1500000
56.0085314583687,0,LacIrep1,11,2000000
56.0085350989211,0,LacIrep1,11,3000000
56.0085409780397,0,LacIrep1,11,5000000
56.008536826777,0,LacIrep1,11,10000000
56.008536893283,0,LacIrep1,11,40000000
56.0085368939796,0,LacIrep1,11,200000000
0.537350508170332,0,LacIrep1,12,1
58.8798578659487,0,LacIrep1,12,100000
58.8798578659487,0,LacIrep1,12,300000
58.8798578659487,0,LacIrep1,12,700000
58.8798578659487,0,LacIrep1,12,1000000
58.8798578659487,0,LacIrep1,12,1500000
58.8798578659487,0,LacIrep1,12,2000000
58.8798578659487,0,LacIrep1,12,3000000
58.8798578659487,0,LacIrep1,12,5000000
58.8798578659487,0,LacIrep1,12,10000000
58.8798578659487,0,LacIrep1,12,40000000
58.8798578659487,0,LacIrep1,12,200000000
0.533834206690849,0,LacIrep1,13,1
47.0533228924436,0,LacIrep1,13,100000
48.651686442313,0,LacIrep1,13,300000
48.809596353586,0,LacIrep1,13,700000
48.827763143811,0,LacIrep1,13,1000000
48.8375249680976,0,LacIrep1,13,1500000
48.8409707097643,0,LacIrep1,13,2000000
48.84345490393,0,LacIrep1,13,3000000
48.8447443775727,0,LacIrep1,13,5000000
48.8452988796665,0,LacIrep1,13,10000000
48.8454774156231,0,LacIrep1,13,40000000
48.8454894582294,0,LacIrep1,13,200000000
0.521345736550505,0,LacIrep1,14,1
51.4659824357944,0,LacIrep1,14,100000
51.4659824357945,0,LacIrep1,14,300000
51.4659824357945,0,LacIrep1,14,700000
51.4659824357945,0,LacIrep1,14,1000000
51.4659824357945,0,LacIrep1,14,1500000
51.4659824357945,0,LacIrep1,14,2000000
51.4659824357945,0,LacIrep1,14,3000000
51.4659824357945,0,LacIrep1,14,5000000
51.4659824357945,0,LacIrep1,14,10000000
51.4659824357945,0,LacIrep1,14,40000000
51.4659824357945,0,LacIrep1,14,200000000
0.528498668251677,0,LacIrep1,15,1
27.7648190026682,0,LacIrep1,15,100000
40.0421079603145,0,LacIrep1,15,300000
45.3292488448228,0,LacIrep1,15,700000
46.6589924830276,0,LacIrep1,15,1000000
47.7496504832015,0,LacIrep1,15,1500000
48.2896271227534,0,LacIrep1,15,2000000
48.8301657808149,0,LacIrep1,15,3000000
49.2603495398599,0,LacIrep1,15,5000000
49.5775921535224,0,LacIrep1,15,10000000
49.7847487313369,0,LacIrep1,15,40000000
49.8416847634189,0,LacIrep1,15,200000000
0.52423262761616,0,LacIrep1,16,1
58.9772436115843,0,LacIrep1,16,100000
58.9776226606068,0,LacIrep1,16,300000
58.977629880753,0,LacIrep1,16,700000
58.9776301743242,0,LacIrep1,16,1000000
58.9776302674309,0,LacIrep1,16,1500000
58.9776904669688,0,LacIrep1,16,2000000
58.9776302960956,0,LacIrep1,16,3000000
58.9776302986207,0,LacIrep1,16,5000000
58.9776302991203,0,LacIrep1,16,10000000
58.9776302991749,0,LacIrep1,16,40000000
58.9776302991757,0,LacIrep1,16,200000000
0.520021706969497,0,LacIrep1,17,1
49.0584452854536,0,LacIrep1,17,100000
49.0584452867791,0,LacIrep1,17,300000
49.0584452861838,0,LacIrep1,17,700000
49.0584452861839,0,LacIrep1,17,1000000
49.058445286184,0,LacIrep1,17,1500000
49.058445286184,0,LacIrep1,17,2000000
49.058445286184,0,LacIrep1,17,3000000
49.058445286184,0,LacIrep1,17,5000000
49.058445286184,0,LacIrep1,17,10000000
49.058445286184,0,LacIrep1,17,40000000
49.058445286184,0,LacIrep1,17,200000000
0.523038602054151,0,LacIrep1,18,1
63.2158614288516,0,LacIrep1,18,100000
63.2157749583195,0,LacIrep1,18,300000
63.2157751700035,0,LacIrep1,18,700000
63.2157751726585,0,LacIrep1,18,1000000
63.2157751733912,0,LacIrep1,18,1500000
63.2157751734914,0,LacIrep1,18,2000000
63.2157751735249,0,LacIrep1,18,3000000
63.2157751744128,0,LacIrep1,18,5000000
63.215775174414,0,LacIrep1,18,10000000
63.2157751744138,0,LacIrep1,18,40000000
63.2157751744138,0,LacIrep1,18,200000000
0.521769132816021,0,LacIrep1,19,1
8.61616213681345,0,LacIrep1,19,100000
42.1439315382536,0,LacIrep1,19,300000
43.4561318620639,0,LacIrep1,19,700000
43.4829667161831,0,LacIrep1,19,1000000
43.4889421847633,0,LacIrep1,19,1500000
43.4898217100758,0,LacIrep1,19,2000000
43.4901139202712,0,LacIrep1,19,3000000
43.4901679289054,0,LacIrep1,19,5000000
43.4901741996266,0,LacIrep1,19,10000000
43.4901745246087,0,LacIrep1,19,40000000
43.4901745254044,0,LacIrep1,19,200000000
0.521883064759619,0,LacIrep1,20,1
53.3831035449281,0,LacIrep1,20,100000
53.3831035880611,0,LacIrep1,20,300000
53.3831035881882,0,LacIrep1,20,700000
53.3831035881882,0,LacIrep1,20,1000000
53.3831035881889,0,LacIrep1,20,1500000
53.3831035881887,0,LacIrep1,20,2000000
53.3831035881889,0,LacIrep1,20,3000000
53.3831035881889,0,LacIrep1,20,5000000
53.3831035881889,0,LacIrep1,20,10000000
53.3831035881889,0,LacIrep1,20,40000000
53.3831035881889,0,LacIrep1,20,200000000
0.560331837805141,0,LacIrep1,21,1
61.2155929368789,0,LacIrep1,21,100000
61.2156990011829,0,LacIrep1,21,300000
61.2157003260903,0,LacIrep1,21,700000
61.2157003636033,0,LacIrep1,21,1000000
61.2157003732606,0,LacIrep1,21,1500000
61.2157003749888,0,LacIrep1,21,2000000
61.2157003756538,0,LacIrep1,21,3000000
61.2157003758033,0,LacIrep1,21,5000000
61.2157003758256,0,LacIrep1,21,10000000
61.2157003758272,0,LacIrep1,21,40000000
61.2157003758272,0,LacIrep1,21,200000000
0.53587715518181,0,LacIrep1,22,1
61.359568817251,0,LacIrep1,22,100000
61.3596161855178,0,LacIrep1,22,300000
61.3596170364925,0,LacIrep1,22,700000
61.3596170364954,0,LacIrep1,22,1000000
61.3596170364956,0,LacIrep1,22,1500000
61.3596170364956,0,LacIrep1,22,2000000
61.3596170364956,0,LacIrep1,22,3000000
61.3596170364956,0,LacIrep1,22,5000000
61.3596170364956,0,LacIrep1,22,10000000
61.3596170364956,0,LacIrep1,22,40000000
61.3596170364956,0,LacIrep1,22,200000000
0.530095387650684,0,LacIrep1,23,1
62.3453404261774,0,LacIrep1,23,100000
62.3453404264039,0,LacIrep1,23,300000
62.3453404264039,0,LacIrep1,23,700000
62.3453404264039,0,LacIrep1,23,1000000
62.3453404264039,0,LacIrep1,23,1500000
62.3453404264039,0,LacIrep1,23,2000000
62.3453404264039,0,LacIrep1,23,3000000
62.3453404264039,0,LacIrep1,23,5000000
62.3453404264039,0,LacIrep1,23,10000000
62.3453404264039,0,LacIrep1,23,40000000
62.3453404264039,0,LacIrep1,23,200000000
0.521588484626847,0,LacIrep1,24,1
56.7295861281421,0,LacIrep1,24,100000
59.3197043927246,0,LacIrep1,24,300000
59.4130351787923,0,LacIrep1,24,700000
59.4186090080926,0,LacIrep1,24,1000000
59.4207400243973,0,LacIrep1,24,1500000
59.4212835789778,0,LacIrep1,24,2000000
59.4215782018795,0,LacIrep1,24,3000000
59.4216770650064,0,LacIrep1,24,5000000
59.4217036849351,0,LacIrep1,24,10000000
59.4217078732787,0,LacIrep1,24,40000000
59.4217079542931,0,LacIrep1,24,200000000
0.530095807159702,0,LacIrep1,25,1
56.5440099617849,0,LacIrep1,25,100000
56.5440099618383,0,LacIrep1,25,300000
56.5440099618389,0,LacIrep1,25,700000
56.5440099618389,0,LacIrep1,25,1000000
56.5440099618389,0,LacIrep1,25,1500000
56.5440099618389,0,LacIrep1,25,2000000
56.5440099618389,0,LacIrep1,25,3000000
56.5440099618389,0,LacIrep1,25,5000000
56.5440099618389,0,LacIrep1,25,10000000
56.5440099618389,0,LacIrep1,25,40000000
56.5440099618389,0,LacIrep1,25,200000000
0.520684678801936,0,LacIrep1,26,1
47.9569418023948,0,LacIrep1,26,100000
47.9569418023948,0,LacIrep1,26,300000
47.9569418023948,0,LacIrep1,26,700000
47.9569418023948,0,LacIrep1,26,1000000
47.9569418023948,0,LacIrep1,26,1500000
47.9569418023948,0,LacIrep1,26,2000000
47.9569418023948,0,LacIrep1,26,3000000
47.9569418023948,0,LacIrep1,26,5000000
47.9569418023948,0,LacIrep1,26,10000000
47.9569418023948,0,LacIrep1,26,40000000
47.9569418023948,0,LacIrep1,26,200000000
0.523019608896001,0,LacIrep1,27,1
59.0236771421137,0,LacIrep1,27,100000
59.0240602934435,0,LacIrep1,27,300000
59.0240796777091,0,LacIrep1,27,700000
59.0240811592757,0,LacIrep1,27,1000000
59.024081802749,0,LacIrep1,27,1500000
59.0240780985173,0,LacIrep1,27,2000000
59.0240820984131,0,LacIrep1,27,3000000
59.0240782539697,0,LacIrep1,27,5000000
59.0240821572559,0,LacIrep1,27,10000000
59.0240821601161,0,LacIrep1,27,40000000
59.0240821602033,0,LacIrep1,27,200000000
0.520356991472329,0,LacIrep1,28,1
55.4608085146862,0,LacIrep1,28,100000
56.0116397034135,0,LacIrep1,28,300000
56.0178113870047,0,LacIrep1,28,700000
56.0178493717097,0,LacIrep1,28,1000000
56.0180134048815,0,LacIrep1,28,1500000
56.0180202783025,0,LacIrep1,28,2000000
56.018022837268,0,LacIrep1,28,3000000
56.0179001754305,0,LacIrep1,28,5000000
56.0179002527561,0,LacIrep1,28,10000000
56.0179002579438,0,LacIrep1,28,40000000
56.017900257964,0,LacIrep1,28,200000000
0.526895222862177,0,LacIrep1,29,1
51.7014426633543,0,LacIrep1,29,100000
51.7014577163658,0,LacIrep1,29,300000
51.7014577183178,0,LacIrep1,29,700000
51.7014577183648,0,LacIrep1,29,1000000
51.701457718377,0,LacIrep1,29,1500000
51.7014577183798,0,LacIrep1,29,2000000
51.7014577183797,0,LacIrep1,29,3000000
51.7014577183807,0,LacIrep1,29,5000000
51.7014577183794,0,LacIrep1,29,10000000
51.7014577183794,0,LacIrep1,29,40000000
51.7014577183794,0,LacIrep1,29,200000000
