;m1_median;m2_mean;qunatile1;qunatile3;standard_dev;coef_of_dist;coef_of_variation;i;Strain
1;3.912694376;4.017819635;3.277140781;4.652070622;1.060503962;0.35140231;0.263950117;0;7op pAct1,
2;4.042924728;4.138864111;3.400416433;4.800317201;1.101850421;0.346259419;0.266220488;0.5;7op pAct1,
3;4.131621412;4.212552382;3.430575305;4.909250115;1.10928905;0.357892135;0.263329438;1;7op pAct1,
4;4.309674214;4.423916921;3.59117898;5.12429782;1.214933983;0.355738918;0.274628571;3;7op pAct1,
5;4.637236984;4.755150446;3.845599971;5.548992397;1.331057542;0.367329173;0.279919123;5;7op pAct1,
6;5.405015909;5.684956416;4.415116671;6.609458153;2.070762812;0.405982428;0.364253067;8;7op pAct1,
7;12.98533567;14.14248503;9.050900815;18.12324533;6.842992853;0.698660762;0.48386071;12;7op pAct1,
8;19.93628557;20.01190064;13.78356204;25.72990813;8.521797102;0.599226272;0.425836469;15;7op pAct1,
9;28.03975196;27.5784488;20.89780167;34.56446237;10.72931204;0.487403053;0.389046973;17;7op pAct1,
10;38.25389648;37.75749223;30.12257662;46.1569957;13.12054155;0.4191578;0.347495047;21;7op pAct1,
11;43.22626699;42.62850173;34.70757266;51.29960222;13.98250455;0.38384137;0.328008351;23;7op pAct1,
12;50.8893129;50.28899598;41.59172603;60.3047962;16.53123424;0.367721022;0.328724683;25;7op pAct1,
13;51.80587193;51.43434286;42.36713735;60.92145678;15.70487681;0.358150896;0.305338339;30;7op pAct1,
14;53.47384786;53.68562963;44.85961343;62.9113721;15.40410383;0.337581068;0.286931604;35;7op pAct1,
15;55.54975119;56.25017131;47.14879042;65.23508547;15.18108646;0.325587328;0.26988516;40;7op pAct1,
16;57.39370486;58.08689374;48.54567523;67.72403628;15.52639668;0.334154435;0.26729604;50;7op pAct1,
17;59.2434236;60.40080424;50.46185416;70.15827408;15.95418815;0.33246593;0.264138671;60;7op pAct1,
18;62.47000839;64.06392514;53.73211634;74.11917854;15.9567706;0.326349599;0.249075756;75;7op pAct1,
19;64.49636221;66.01784376;55.58015351;75.88893244;16.42221206;0.314882549;0.248754142;100;7op pAct1,
20;66.6283877;68.55111189;57.63727107;78.80622439;16.65161859;0.317716728;0.242908074;150;7op pAct1,
21;67.44960733;69.02806815;57.6665243;79.81241231;17.0709003;0.328332349;0.247303753;200;7op pAct1,
22;67.95543991;69.91373892;58.85536746;80.17554936;17.21734234;0.313737678;0.246265507;300;7op pAct1,
23;68.24454212;70.34189417;59.02180175;80.66575399;17.64062759;0.317152868;0.250784085;400;7op pAct1,
24;72.51936877;74.43566585;63.26472245;85.06199555;18.23219246;0.300571743;0.244938931;600;7op pAct1,
25;5.812599986;5.954486753;4.881503398;6.919510717;1.586792124;0.350618884;0.266486801;0;7op only NF
26;5.850615693;5.983547213;4.861266814;6.97620541;1.739986767;0.361489919;0.290795193;0.5;7op only NF
27;6.166983541;6.282098586;5.115846382;7.283147777;1.697210395;0.351436222;0.270166151;1;7op only NF
28;6.827644985;6.96375131;5.664215013;8.054401208;1.958984388;0.350074762;0.281311652;3;7op only NF
29;7.561317511;7.733330749;6.254381163;9.010108966;2.162934213;0.364450745;0.279689862;5;7op only NF
30;8.662919567;8.871907566;7.190552038;10.35528047;2.544766726;0.365318922;0.286834224;8;7op only NF
31;12.24597215;12.52381032;10.14228854;14.61618384;3.57319729;0.365336067;0.285312313;12;7op only NF
32;14.0750431;14.32474256;11.63200258;16.71602965;4.147614767;0.361208633;0.289542011;15;7op only NF
33;15.63834982;15.92073421;12.91968597;18.64185449;4.702517215;0.36590616;0.295370625;17;7op only NF
34;18.43500643;18.69413405;15.25456782;21.75385304;5.343720333;0.352551286;0.285850113;21;7op only NF
35;20.42101654;20.6299367;16.80602677;24.24162689;6.012295382;0.364115082;0.291435474;23;7op only NF
